code,rating
32002017005P9,7
32002017006P5,6
32002017016P0,7
32002017033P2,5
32002017008P8,5
32002017001P3,6
32002017004P2,7
32002017047P3,4
32002017003P6,7
32010010005P1,5
32010010002P2,5
53001010071P8,4
53001010046P3,5
53001010021P0,5
28005015005P6,4
50002015007P2,4
33004064039P3,5
33004064014P0,5
33004064034P1,6
33004064082P6,5
33004064038P7,5
33004099079P1,5
33004102071P2,6
33004102037P9,4
33004102029P6,5
33004102001P4,6
33004102070P6,6
33003017026P5,6
40014010003P3,4
40014010004P0,4
32011016013P7,3
32016018005P6,4
32014015001P8,4
40015017002P3,4
40015017001P7,5
40015017013P5,4
40028011003P0,5
25020013008P9,4
25020013004P3,4
33054010003P0,4
42009014001P6,4
33002061001P3,7
33002037008P1,5
33002037002P3,7
33002037004P6,7
33002037005P2,4
33002037006P9,7
33002037023P0,6
33002037001P7,7
33002037016P4,5
33002037003P0,6
33002037021P8,6
40006018043P6,4
40006018005P7,4
33150010001P3,5
52010015106P5,4
52010015101P3,4
52010015005P4,4
52010015102P0,5
29002001001P9,4
30004012073P1,4
32048017003P1,4
12002011012P9,3
40004015043P3,4
32004010026P2,4
42003016023P1,5
28022017007P3,4
31002013023P4,5
42002010048P1,5
32002017040P9,5
32002017036P1,2
51003015002P0,5
32016018002P7,4
42041015001P2,7
41006011003P7,5
42004012159P7,3
33010013011P0,4
51002019006P9,4
41002016158P5,4
28002016005P7,4
52012018009P2,3
52012018005P7,5
32025017004P5,4
51004011071P8,3
51004011002P6,5
15006018005P6¹,5
31004016045P0,4
23002018005P3,5
13003011002P2*,3
28006011012P9,4
28007018001P3,5
33144010018P7,5
11001011074P5,3
12001015041P2,3
12001015064P2,3
12001015007P9,4
26041006002P8,4
22001018040P4,6
22001018028P4,4
22033017001P7,4
24009016009P6,3
24009016070P7,3
23003014016P1,5
30001013031P8,5
31003010089P5,4
31003010091P0,3
41020014009P0,4
41020014004P9,5
52001016022P0,7
20001010051P0,4
20001010055P6,4
32001010075P0,5
51001012171P3,4
50001019032P0,4
50001019007P6,5
28049012001P3,3
15010015002P0,3
15010015003P7,5
15001016046P2,5
15001016161P6,4
24001015038P5,4
25001019060P3,5
42003016056P7,4
21001014004P5,4
40001016081P3,4
40001016029P1,4
51034000005P9,3
31001017145P6,5
23001011036P0,4
13001019001P3,4
27001016007P0,4
22001018074P6*,5
29007003005P6,4
29007003003P3*,4
41001010038P7,6
33001014047P0,5
33001014050P0,5
42002010164P1,4
16003012001P4,5
32012012171P8,4
32006012037P3,3
53001010108P9,5
53001010044P0,5
50002015008P9,5
50002015001P4,4
41015010001P0,5
40076016009P5,3
33004145083P2*,4
